choicesName,value,label::fr,label::en,label_one::fr,label_one::en,spreadChoicesName,conditional
yes,yes,Oui,Yes,,,,
no,no,Non,No,,,,
other,other,Autre (spécifiez),Other (specify),,,,
otherWithoutSpecify,other,Autre,Other,,,,
dontKnow,dontKnow,Je ne sais pas,I don't know,,,,
preferNotAnswer,preferNotAnswer,Je préfère ne pas répondre,I prefer not to answer,,,,
yesNo,,,,,,yes,
yesNo,,,,,,no,
yesNoDontKnow,,,,,,yesNo,
yesNoDontKnow,,,,,,dontKnow,
yesNoPreferNotAnswer,,,,,,yes,
yesNoPreferNotAnswer,,,,,,no,
yesNoPreferNotAnswer,,,,,,preferNotAnswer,
gender,male,Homme,Man,,,,
gender,female,Femme,Woman,,,,
gender,,,,,,preferNotAnswer,
participationStatus,yesFullTime,"Oui, à temps plein","Yes, full time",,,,
participationStatus,yesPartTime,"Oui, à temps partiel","Yes, part time",,,,
participationStatus,,,,,,no,
schoolType,kindergarten,Garderie/CPE,Kindergarten/Childcare/CPE,,,,ifAge5OrLessConditional
schoolType,primarySchool,École primaire,Primary school,,,,ifAge4to13Conditional
schoolType,secondarySchool,École secondaire,Secondary school,,,,ifAge11OrMoreConditional
schoolType,schoolAtHome,École à la maison,School at home,,,,
schoolType,collegeCegepDepAep,CEGEP / Collège / DEP / AEP,CEGEP / College / DEP / AEP,,,,ifAge15OrMoreConditional
schoolType,,,,,,other,
personOccupation,fullTimeWorker,Travail à temps plein (30h et plus/semaine),Employed full-time (30h and more/week),,,,
personOccupation,partTimeWorker,Travail à temps partiel (moins de 30h/semaine),Employed part-time (less than 30h/week),,,,
personOccupation,workerAndStudent,Travail et études,Work and studies,,,,
personOccupation,fullTimeStudent,Études à temps plein,Full-time student,,,,
personOccupation,partTimeStudent,Études à temps partiel,Part-time student,,,,
personOccupation,retired,À la retraite,Retired,,,,ifAge40OrMoreConditional
personOccupation,atHome,À la maison,At home,,,,
personOccupation,unemployed,En chômage / en recherche d'emploi,Unemployed / searching for a job,,,,
personOccupation,sickOrParentalLeave,Congé de maladie ou congé parental,Sick leave or parental leave,,,,
personOccupation,longTermDisability,Invalidité de longue durée,Long-term disability,,,,
personOccupation,volunteer,Bénévole,Volunteer,,,,
personOccupation,other,Autre,Other,,,,
personOccupation,preferNotToAnswer,Préfère ne pas répondre,Prefer not to answer,,,,
transitFareType,,,,,,no,
transitFareType,transitPass,Passe ou titre mensuel ou annuel,Monthly or annual pass,,,,
transitFareType,tickets,Titres ou billets individuels,Individual tickets or rides,,,,
transitFareType,,,,,,dontKnow,
workLocationType,onLocation,"Oui, travail au lieu fixe en présentiel en tout temps","Yes, always on-site at fixed location",,,,
workLocationType,hybrid,"Oui, travail en mode hybride (télétravail et en présentiel)","Yes, hybrid work (remote and on-site)",,,,
workLocationType,onTheRoadWithUsualPlace,"Oui, travail sur la route avec départ d'un lieu fixe (ex: garage, bureau, poste, restaurant, etc.)","Yes, work on the road departing from a fixed location (ex: garage, office, station, restaurant, etc.)",,,,
workLocationType,onTheRoadWithoutUsualPlace,"Non, travail sur la route avec départ du domicile","No, work on the road departing from home",,,,
workLocationType,remote,"Non, travail à partir du domicile ou à distance","No, work from home or from elsewhere",,,,
studyLocationType,onLocation,"Oui, études au lieu fixe en présentiel en tout temps","Yes, always on-site at fixed location",,,,
studyLocationType,hybrid,"Oui, études en mode hybride (télé-études et en présentiel)","Yes, hybrid studies (remote and on-site)",,,,
studyLocationType,remote,"Non, études à partir du domicile ou à distance","No, remote studies from home or from elsewhere",,,,
